mood,speechiness,energy,valence,liveness,instrumentalness,acousticness,danceability
4,0.391,0.671,0.463,0.162,0.347,0.0439,0
4,0.778,0.509,0.0648,0.11,0.192,0.0339,0.0282
4,0.89,0.623,0.276,0.146,0.308,0.0287,0
4,0.118,0.592,0.588,0.138,0.336,0.0405,0
4,0.78,0.562,0.403,0.094,0.548,0.0361,0
4,0.222,0.66,0.39,0.108,0.265,0.0519,0
4,0.815,0.636,0.243,0.111,0.239,0.04,0
4,0.685,0.443,0.314,0.118,0.369,0.0339,0
4,0.3,0.648,0.607,0.163,0.356,0.0577,0
4,0.961,0.521,0.265,0.0676,0.392,0.0319,0.133
4,0.458,0.604,0.454,0.236,0.191,0.103,0
4,0.543,0.529,0.351,0.0851,0.529,0.0368,0
4,0.499,0.438,0.435,0.118,0.433,0.0442,0
4,0.691,0.565,0.339,0.0982,0.461,0.0305,0
4,0.752,0.675,0.604,0.111,0.456,0.193,0
4,0.137,0.652,0.555,0.09,0.107,0.032,2.18E-05
4,0.358,0.69,0.582,0.0776,0.448,0.0333,0
4,0.458,0.774,0.466,0.111,0.396,0.0433,0
4,0.443,0.803,0.449,0.127,0.655,0.0745,3.32E-05
4,0.515,0.548,0.483,0.0922,0.166,0.0268,0.0674
4,0.811,0.368,0.463,0.109,0.447,0.0302,0.0017
4,0.764,0.44,0.376,0.118,0.309,0.0337,0.00169
4,0.78,0.88,0.243,0.102,0.626,0.463,3.92E-05
4,0.881,0.498,0.418,0.113,0.796,0.0539,0
4,0.945,0.413,0.272,0.112,0.354,0.0317,0.0271
4,0.0362,0.537,0.612,0.0926,0.308,0.051,0
4,0.779,0.712,0.298,0.115,0.568,0.0407,0
4,0.322,0.702,0.623,0.0858,0.503,0.0417,0
4,0.682,0.683,0.346,0.278,0.457,0.0785,0
4,0.792,0.565,0.255,0.0986,0.121,0.0322,2.07E-06
4,0.647,0.761,0.311,0.15,0.553,0.0692,0
4,0.887,0.636,0.129,0.0719,0.299,0.0347,0
4,0.617,0.584,0.374,0.0694,0.279,0.0337,2.86E-06
4,0.28,0.496,0.639,0.0975,0.305,0.055,0
4,0.256,0.67,0.396,0.112,0.358,0.03,0
4,0.418,0.495,0.65,0.108,0.16,0.0385,5.27E-05
4,0.64,0.536,0.426,0.147,0.375,0.123,5.88E-06
4,0.407,0.624,0.393,0.118,0.728,0.0333,0
4,0.259,0.799,0.373,0.166,0.534,0.0558,0
