mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
3,0.669,0.916,0.038,0.254,0.00117,0.356,0.54
3,0.951,0.878,0.211,0.0509,1.61E-05,0.321,0.923
3,0.801,0.601,0.255,0.0777,3.23E-05,0.145,0.74
3,0.741,0.691,0.0672,0.0221,0,0.0476,0.892
3,0.539,0.648,0.0619,0.118,0,0.362,0.403
3,0.629,0.692,0.0376,0.00981,0.331,0.603,0.453
3,0.544,0.546,0.0923,0.0099,0.00027,0.392,0.151
3,0.529,0.673,0.175,0.000307,2.41E-06,0.093,0.366
3,0.823,0.388,0.491,0.0187,0,0.0876,0.507
3,0.85,0.631,0.227,0.00684,0.000406,0.0679,0.738
3,0.767,0.628,0.242,0.21,8.79E-06,0.275,0.798
3,0.916,0.583,0.241,0.186,0,0.0798,0.661
3,0.767,0.787,0.0575,0.0367,8.82E-05,0.048,0.675
3,0.503,0.849,0.0308,0.00202,0,0.28,0.341
3,0.664,0.609,0.0707,0.304,0,0.0926,0.194
3,0.72,0.607,0.0322,0.0543,0,0.113,0.828
3,0.899,0.691,0.0497,0.18,0.000451,0.135,0.865
3,0.881,0.782,0.0803,0.06,0,0.0616,0.774
3,0.749,0.63,0.116,0.0623,0,0.353,0.445
3,0.607,0.522,0.0704,0.0553,0,0.0909,0.265
3,0.601,0.843,0.0593,0.000704,5.27E-05,0.0681,0.534
3,0.486,0.545,0.0336,0.0652,0.00474,0.0642,0.0385
3,0.679,0.587,0.276,0.141,6.35E-06,0.137,0.486
3,0.674,0.759,0.0695,0.0784,0.472,0.296,0.109
3,0.768,0.526,0.0611,0.594,0,0.144,0.584
3,0.824,0.764,0.0854,0.0888,0.00294,0.117,0.881
3,0.696,0.809,0.05,0.252,0.000128,0.248,0.857
3,0.873,0.575,0.0702,0.0891,0,0.108,0.872
3,0.83,0.585,0.094,0.237,0,0.248,0.485
3,0.666,0.465,0.26,0.0503,0,0.215,0.292
3,0.647,0.608,0.42,0.13,0,0.0584,0.474
3,0.707,0.909,0.261,0.413,0,0.305,0.703
3,0.755,0.536,0.12,0.114,0,0.0282,0.882
3,0.459,0.521,0.0342,0.0541,0.00396,0.104,0.122
3,0.773,0.422,0.187,0.00783,0.00693,0.129,0.488
3,0.782,0.559,0.0767,0.125,0,0.385,0.685
3,0.912,0.655,0.162,0.315,3.39E-05,0.0894,0.793
3,0.571,0.549,0.404,0.18,0,0.168,0.447
3,0.779,0.726,0.0317,0.0489,0,0.656,0.451
3,0.662,0.877,0.112,0.0874,0,0.273,0.545
3,0.849,0.424,0.324,0.0635,0,0.0834,0.153
