mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
4,0.674,0.774,0.0892,0.0686,0.00188,0.393,0.33
4,0.81,0.6,0.0372,0.424,0.0321,0.108,0.139
4,0.801,0.806,0.0381,0.382,0.000669,0.114,0.802
4,0.551,0.55,0.0286,0.777,0,0.202,0.342
4,0.574,0.469,0.0254,0.534,9.21E-05,0.128,0.288
4,0.442,0.538,0.0451,0.717,2.95E-05,0.09,0.139
4,0.44,0.317,0.0531,0.891,4.78E-06,0.141,0.268
4,0.692,0.429,0.0345,0.708,0.00281,0.0755,0.249
4,0.515,0.593,0.0322,0.653,0.162,0.25,0.153
4,0.64,0.743,0.0379,0.269,0,0.101,0.361
4,0.508,0.43,0.0335,0.83,0.000441,0.093,0.324
4,0.346,0.5,0.0388,0.757,0,0.189,0.191
4,0.557,0.442,0.0243,0.731,1.46E-05,0.11,0.213
4,0.571,0.544,0.0299,0.453,0.00805,0.322,0.216
4,0.594,0.612,0.363,0.835,0,0.461,0.687
4,0.481,0.638,0.0276,0.153,0,0.154,0.497
4,0.733,0.71,0.0292,0.145,0.115,0.0956,0.965
4,0.6,0.688,0.201,0.159,1.29E-05,0.409,0.0793
4,0.531,0.525,0.0671,0.232,0,0.441,0.502
4,0.558,0.559,0.0959,0.371,7.49E-06,0.109,0.62
4,0.483,0.303,0.0429,0.694,0,0.115,0.139
4,0.459,0.427,0.0267,0.114,0,0.168,0.354
4,0.546,0.311,0.0288,0.818,1.65E-05,0.107,0.246
4,0.546,0.814,0.0314,0.023,0,0.0972,0.146
4,0.608,0.768,0.0475,0.0913,0,0.0629,0.809
4,0.615,0.733,0.0335,0.152,0,0.109,0.796
4,0.712,0.862,0.0378,0.0525,0,0.093,0.809
4,0.828,0.492,0.0276,0.0644,0.00428,0.128,0.789
4,0.315,0.715,0.0362,0.00125,7.97E-06,0.0942,0.497
4,0.358,0.557,0.059,0.695,0,0.0902,0.494
4,0.315,0.296,0.0315,0.771,0,0.702,0.435
4,0.868,0.347,0.0536,0.308,2.00E-05,0.11,0.659
4,0.746,0.747,0.0353,0.579,0.000197,0.124,0.668
4,0.711,0.292,0.037,0.313,0,0.131,0.194
4,0.614,0.379,0.0476,0.607,0.000464,0.0986,0.201
4,0.599,0.448,0.0232,0.163,0,0.106,0.168
4,0.781,0.445,0.0295,0.474,0,0.184,0.591
4,0.703,0.444,0.0417,0.559,0,0.0973,0.712
4,0.668,0.618,0.0457,0.106,0,0.117,0.53
4,0.635,0.841,0.0422,0.0134,0,0.0622,0.424
