mood,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence
1,0.68,0.697,0.0484,0.121,0,0.661,0.684
1,0.701,0.875,0.0757,0.0262,7.32E-06,0.137,0.84
1,0.6,0.667,0.0319,0.227,0.00067,0.148,0.722
1,0.628,0.476,0.0352,0.417,0,0.121,0.336
1,0.746,0.647,0.106,0.0267,0,0.052,0.393
1,0.543,0.677,0.284,0.514,1.19E-05,0.239,0.712
1,0.68,0.428,0.135,0.376,0.000344,0.355,0.334
1,0.422,0.44,0.0544,0.617,0,0.0837,0.332
1,0.876,0.565,0.0333,0.16,0.0284,0.114,0.931
1,0.815,0.848,0.115,0.023,0.000162,0.0265,0.684
1,0.829,0.792,0.0668,0.726,5.83E-06,0.122,0.758
1,0.609,0.692,0.0259,0.0157,0,0.0864,0.454
1,0.768,0.714,0.0401,0.352,0,0.15,0.842
1,0.761,0.525,0.0944,0.44,6.70E-06,0.0921,0.531
1,0.704,0.797,0.0475,0.0826,0.000745,0.0546,0.825
1,0.772,0.75,0.0455,0.0201,0,0.074,0.587
1,0.689,0.627,0.308,0.105,0.000321,0.0905,0.905
1,0.591,0.764,0.0483,0.0383,0,0.103,0.478
1,0.52,0.903,0.042,0.00517,0,0.254,0.652
1,0.68,0.697,0.0484,0.121,0,0.661,0.684
1,0.737,0.846,0.22,0.00614,0,0.0486,0.546
1,0.565,0.636,0.0638,0.107,9.90E-06,0.447,0.525
1,0.551,0.55,0.0286,0.777,0,0.202,0.342
1,0.606,0.799,0.0261,0.0128,0,0.15,0.638
1,0.468,0.779,0.0779,0.112,0.000373,0.101,0.26
1,0.52,0.731,0.0557,0.342,0.00101,0.311,0.662
1,0.742,0.527,0.0769,0.327,0,0.25,0.638
1,0.788,0.859,0.0856,0.281,0,0.0424,0.822
1,0.881,0.592,0.0324,0.619,1.32E-05,0.0901,0.719
1,0.702,0.825,0.0601,0.00883,0,0.0674,0.915
1,0.697,0.875,0.034,0.137,0,0.28,0.774
1,0.548,0.816,0.0465,0.122,0,0.335,0.557
1,0.713,0.676,0.027,0.0377,0,0.154,0.721
1,0.611,0.797,0.0533,0.00543,0.00137,0.26,0.518
1,0.588,0.701,0.0402,0.00813,0,0.2,0.443
1,0.65,0.825,0.0325,0.0215,2.44E-05,0.0936,0.593
1,0.685,0.738,0.0595,0.0695,0,0.128,0.8
1,0.561,0.965,0.0343,0.00383,7.07E-06,0.371,0.304
1,0.838,0.525,0.0665,0.345,1.92E-06,0.0771,0.884
1,0.574,0.852,0.0397,0.0529,0,0.161,0.501
1,0.733,0.67,0.0751,0.121,0,0.121,0.472
1,0.731,0.626,0.0805,0.125,0,0.183,0.862
1,0.898,0.732,0.0427,0.621,1.29E-05,0.0908,0.96
1,0.671,0.636,0.103,0.515,0.000411,0.172,0.262
1,0.801,0.806,0.0381,0.382,0.000669,0.114,0.802
1,0.756,0.697,0.0401,0.182,0,0.333,0.956
1,0.686,0.538,0.0345,0.181,3.13E-06,0.113,0.584
1,0.912,0.774,0.0455,0.121,0.0127,0.101,0.632
1,0.717,0.671,0.0337,0.0018,2.54E-06,0.0921,0.699
1,0.745,0.681,0.0361,0.0696,0,0.164,0.613
1,0.74,0.697,0.034,0.0268,0,0.224,0.732
1,0.689,0.706,0.0312,0.0833,0,0.105,0.623
1,0.836,0.743,0.0656,0.0995,0,0.335,0.722
1,0.586,0.556,0.0592,0.00655,0,0.0836,0.517
1,0.721,0.738,0.0403,0.00226,4.41E-06,0.118,0.637
1,0.707,0.681,0.0668,0.0632,5.15E-06,0.0322,0.646
1,0.399,0.491,0.0538,0.0563,0.00089,0.11,0.151
1,0.659,0.667,0.0339,0.00173,2.85E-05,0.1,0.468
1,0.806,0.513,0.0685,0.217,0,0.217,0.503
1,0.576,0.457,0.0304,0.143,3.05E-05,0.0917,0.301
